"model","max_rhat","min_ess_bulk","min_ess_tail","divergences","max_treedepth","min_ebfmi","passes_gate","attempt_id"
"primary_strict_point_hn1",1.00117900452101,3144.12883825958,4043.15928709122,0,7,0.750638714283906,TRUE,1
"secondary_period_hn1",1.00035962817965,2682.420628033,3663.10351702445,0,8,0.759842587642816,TRUE,1
"sens_prior_hn05",1.00133181210744,3579.88099729963,5339.96677612732,0,7,0.751087947078741,TRUE,1
"sens_prior_hn2",1.00097560614095,2949.33953647986,4156.13909385166,0,7,0.712978652399815,TRUE,1
"sens_point_relaxed_k14",1.00118545873074,2473.09535986169,3809.89915719122,0,8,0.730804421109969,TRUE,1
"sens_legacy_k23",1.00103604771517,2236.20537256607,3999.16092723247,0,7,0.692789279959521,TRUE,1
"sens_strict_excl_weak",1.00175186857034,3277.55781307757,3820.86680922248,0,8,0.755666225796816,TRUE,1
"sens_strict_excl_exposed",1.00084911060656,3569.4705029167,5102.85442488494,0,7,0.735336804942231,TRUE,1
"sens_strict_missing_not_employed_bound",1.00189066942183,2933.50794589798,4442.27272358772,0,7,0.764187983573764,TRUE,1
"sens_strict_normal_normal_hn1",1.00202477513645,2889.22406046843,3983.33591301198,0,7,0.715531153866333,TRUE,1
"loo_ABDELBAKI_2013",1.00180147770631,3645.55608834116,5048.27512927548,0,7,0.744986803356015,TRUE,1
"loo_ANDERSEN_2024",1.00092103249534,3224.55116652586,4584.00144650502,0,7,0.760893522691419,TRUE,1
"loo_CRAIG_2014",1.00112123345598,2995.99922446907,3818.95072030688,0,7,0.748073333564516,TRUE,1
"loo_DUDLEY_2014",1.00072948734182,3712.64319766167,4641.34562449342,0,7,0.747649845740184,TRUE,1
"loo_EACK_2011",1.00066926241701,3087.74054058916,4326.198694131,0,7,0.733172557172538,TRUE,1
"loo_HEGELSTAD_2019",1.00155834948765,2574.3449897706,4217.91103216706,0,7,0.721170209355239,TRUE,1
"loo_POTHIER_2019",1.00107598072718,3020.77566463924,4431.23111135261,0,8,0.704625309524883,TRUE,1
"loo_RINALDI_2010",1.00107218380158,3235.44326214575,4513.3949939084,0,7,0.723123982336818,TRUE,1
